oid,zip_code,home_broadband_adoption,mobile_broadband_adoption,no_internet_access_percentage,no_home_broadband_adoption,no_mobile_broadband_adoption,no_home_broadband_adoption_1,no_mobile_broadband_adoption_1,commercial_fiber_max_isp,public_computer_center_count,workstations_in_pccs,avg_training_hrs_per_week,public_wi_fi_count,poles_reserved_by_mobile,pole_with_equipment_installed,density_of_poles_reserved
208,11369,0.7166,0.7696,0.1812,0.2834,0.2304,Medium High Connected,Medium High Connected,4,2,28,1.3,2,17,15,0.88
209,11370,0.7729,0.8017,0.1477,0.2271,0.1983,Medium Low Connected,Medium Low Connected,3,0,0,0,0,11,6,0.55
210,11371,0.7454,0.7306,0.1772,0.2546,0.2694,Medium High Connected,High Connected,0,0,0,0,0,1,0,0.00
211,11372,0.7419,0.8085,0.1712,0.2581,0.1915,Medium High Connected,Medium Low Connected,4,4,53,3.4,26,22,11,0.50
212,11373,0.7298,0.7873,0.1611,0.2702,0.2127,Medium High Connected,Medium High Connected,4,3,118,7.3,45,24,19,0.79
213,11374,0.7441,0.7396,0.1486,0.2559,0.2604,Medium High Connected,High Connected,3,3,46,27.2,12,4,17,4.25
214,11375,0.7727,0.7829,0.1155,0.2273,0.2171,Medium Low Connected,Medium High Connected,4,5,67,24.6,26,18,27,1.50
215,11377,0.7524,0.7926,0.1509,0.2476,0.2074,Medium High Connected,Medium Low Connected,4,3,25,7.9,26,20,16,0.80
216,11378,0.7628,0.7657,0.1325,0.2372,0.2343,Medium High Connected,Medium High Connected,4,2,29,6.3,1,10,6,0.60
217,11379,0.7605,0.7643,0.1412,0.2395,0.2357,Medium High Connected,Medium High Connected,4,2,24,1.3,9,18,9,0.50
218,11385,0.7304,0.8073,0.1703,0.2696,0.1927,Medium High Connected,Medium Low Connected,4,3,51,6.6,4,37,31,0.84
219,11411,0.7293,0.7896,0.1323,0.2707,0.2104,Medium High Connected,Medium High Connected,2,1,21,1.5,1,19,9,0.47
220,11412,0.5861,0.7791,0.1656,0.4139,0.2209,High Connected,Medium High Connected,3,2,53,4.7,2,9,4,0.44
221,11413,0.6033,0.7959,0.1552,0.3967,0.2041,High Connected,Medium Low Connected,3,1,36,3.4,1,36,18,0.50
222,11414,0.7553,0.7392,0.1404,0.2447,0.2608,Medium High Connected,High Connected,2,1,12,0.2,1,5,4,0.80
223,11415,0.7508,0.7952,0.1378,0.2492,0.2048,Medium High Connected,Medium Low Connected,4,0,0,0,8,2,12,6.00
224,11416,0.7698,0.7994,0.1167,0.2302,0.2006,Medium Low Connected,Medium Low Connected,2,1,3,2,2,5,12,2.40
225,11417,0.7689,0.776,0.1141,0.2311,0.224,Medium Low Connected,Medium High Connected,3,1,5,0.1,1,10,13,1.30
226,11418,0.7577,0.8072,0.142,0.2423,0.1928,Medium High Connected,Medium Low Connected,4,1,26,1.2,25,22,22,1.00
227,11419,0.7408,0.8182,0.1336,0.2592,0.1818,Medium High Connected,Medium Low Connected,3,1,26,1.4,6,17,18,1.06
228,11420,0.7583,0.8099,0.1216,0.2417,0.1901,Medium High Connected,Medium Low Connected,3,1,24,0.8,1,14,8,0.57
229,11421,0.7736,0.8124,0.1232,0.2264,0.1876,Medium Low Connected,Medium Low Connected,2,2,19,2.4,17,10,11,1.10
230,11422,0.7475,0.8288,0.1151,0.2525,0.1712,Medium High Connected,Medium Low Connected,4,1,18,0.6,1,8,14,1.75
231,11423,0.697,0.7912,0.1252,0.303,0.2088,Medium High Connected,Medium High Connected,4,1,18,0.5,5,15,3,0.20
232,11426,0.8063,0.8041,0.1021,0.1937,0.1959,Medium Low Connected,Medium Low Connected,4,1,8,1.8,7,11,4,0.36
233,11427,0.7546,0.7535,0.1323,0.2454,0.2465,Medium High Connected,Medium High Connected,3,1,7,7,0,5,4,0.80
